# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 19214
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 19214
DATA ascii
-0.00189912 0.07381234 -0.02740189
0.0342028 -0.02285466 -0.01642918
0.04329812 -0.0370163 -0.0163931
-0.04826333 -0.03563651 -0.008497337
-0.04654 -0.05808681 -0.01661451
0.0514817 -0.003830079 -0.005986353
-0.02984046 0.005483014 -0.02368109
-0.007050985 -0.0575404 -0.03514409
0.02651441 0.06719117 -0.0148928
-0.04093712 0.04085559 -0.006740019
-0.008080077 0.0007127306 -0.04851402
-0.04438158 -0.06144077 -0.01714226
-0.01416262 0.005366685 -0.03620627
0.01107144 -0.01988795 -0.03247118
-0.04331624 -0.03735124 -0.01637755
0.008176632 0.01321969 -0.04237294
-0.007755532 -0.02561925 -0.03307177
0.004750274 0.004642889 -0.04598244
0.05062104 -0.06018903 -0.007351636
-0.01731683 -0.02694979 -0.02199528
-0.0227953 0.03970576 -0.03017571
0.03619311 -0.003038449 -0.01856412
0.03756945 0.03108866 -0.0172666
0.0339926 0.02796825 -0.02293764
0.02997279 -0.0171685 -0.01991035
0.001322541 -0.05888656 -0.03502888
0.004194588 -0.06480732 -0.03383978
-0.05191493 -0.0001145982 -0.005565289
-0.04942686 -0.005707025 -0.009609871
0.001919236 -0.0294822 -0.04134515
-0.0159926 0.04445253 -0.03399777
0.04094936 -0.07142261 -0.01434593
-0.007185035 -0.03964046 -0.02836106
-0.0104533 0.0009042419 -0.0504389
0.03866481 -0.03497066 -0.01209767
-0.03072133 0.04071255 -0.02173491
0.01918937 0.001624809 -0.03009062
-0.02311717 -0.01464118 -0.02376058
0.03992224 -0.01274908 -0.01548166
-0.05522649 -0.04413181 -0.003572803
0.01515263 -0.01672909 -0.02828387
-0.03170764 0.05648819 -0.0151422
-0.02012119 0.03106038 -0.02677424
0.002129315 -0.03196578 -0.0395179
-0.04739773 -0.007685657 -0.01176538
